,total_trades,win_rate,avg_return,avg_winner,avg_loser,profit_factor,avg_holding_days,stop_loss_pct,take_profit_pct,signal_exit_pct,trades_per_year
time_series_momentum,7687.0,0.28684792506829715,0.009244601687368457,0.09161040539931466,-0.02388502202383938,1.5427257252825222,23.517627162742293,0.14127748146220892,0.0,0.858722518537791,505.7054664985591
cross_sectional_momentum,5627.0,0.4282921627865648,0.00465257964008758,0.050894575930110854,-0.029989388360831315,1.2713638934674798,11.746756708725787,0.3124222498667141,0.0,0.6875777501332859,372.19517385005435
mean_reversion,120.0,0.475,-0.0016996564089945593,0.018477224266614505,-0.019954929401212285,0.8377623536548028,3.216666666666667,0.13333333333333333,0.0,0.8666666666666667,24.554621848739497
distance_pairs,2966.0,0.26500337154416725,-0.00016597695418566722,0.09333331745469005,-0.0338771904428904,0.9933341573430009,20.14531355360755,0.6975724881995954,0.0,0.30242751180040456,195.12454971181555
kalman_pairs,2722.0,0.44158706833210876,-0.0019808702099511325,0.0336739660904182,-0.030176339442216874,0.8824469241039734,6.364437913299045,0.38060249816311537,0.0,0.6193975018368847,180.93002729754323
volatility_breakout,10431.0,0.5018694276675295,0.0011545512363980138,0.024225380157818686,-0.022089442105333555,1.104926519285415,2.943629565717573,0.03566292781133161,0.0,0.9643370721886684,645.9685910478128
carry,4483.0,0.3102832924380995,0.0036386985210630964,0.09694304879655406,-0.038336188682432354,1.1376151963092838,20.841846977470443,0.5908989515949141,0.0,0.4091010484050859,278.28275832766826
factor_momentum,12892.0,0.4100992863791499,-0.0007574678193324023,0.03986294184344312,-0.028996797982000937,0.955717184823836,7.895594166925225,0.30631399317406144,0.0,0.6936860068259386,852.7350597609561
pca_stat_arb,10627.0,0.4099934130046109,-2.376898310589144e-05,0.051299269350293636,-0.03568796005465641,0.9988711609681883,8.75496377152536,0.5271478309965183,0.0,0.4728521690034817,699.1195515129683
vol_managed,236.0,0.0,-0.06023479347257911,0.0,-0.06023479347257911,0.0,73.60169491525424,1.0,0.0,0.0,21.822531645569622
pead,2121.0,0.3965110796793965,0.003788883437756818,0.06928139841299828,-0.0392417455420698,1.1599902902443462,9.98019801980198,0.48514851485148514,0.0,0.5148514851485149,133.7988341968912
residual_momentum,5689.0,0.3726489716997715,0.0001887505775132002,0.06764911958521809,-0.03988297323765474,1.0075437996853676,11.480752329056074,0.5456143434698542,0.0,0.4543856565301459,376.2961336472293
low_risk_bab,1352.0,0.15384615384615385,-0.011107023436484547,0.1679882980597303,-0.04366980916306907,0.6994151681748365,44.69008875739645,0.8276627218934911,0.0,0.17233727810650887,89.91587764020393
short_term_reversal,15972.0,0.4937390433258202,-0.0002796978323428052,0.03129079869123226,-0.031069326274701565,0.9822179089654351,4.5160280490859,0.2744803405960431,0.0,0.7255196594039569,987.9378492802709
vol_risk_premium,14233.0,0.3720227639991569,0.0030987647683635143,0.06520035827065758,-0.033691114130120166,1.1464634755760916,13.182814585821681,0.48134616735754937,0.0,0.5186538326424507,892.6173162774725
