name,regime,n_days,ann_return,ann_vol,sharpe,max_drawdown,skewness,hit_rate
time_series_momentum,crisis,408,-0.20602904440133835,0.1912663917246115,-1.0771837255025043,-0.3301778597174324,-1.8309683162924943,0.46078431372549017
time_series_momentum,high_vol,1221,0.001960123457563804,0.08450285861142923,0.023195942596179724,-0.20558848093946397,-1.2652000354089745,0.48484848484848486
time_series_momentum,low_vol,1018,0.12872565284311357,0.07477806319648067,1.7214360380648623,-0.081803473877208,-0.35658375868367737,0.5491159135559921
time_series_momentum,medium_vol,1424,0.09530807116960098,0.092157334536291,1.0341886692921793,-0.06554159225074688,-0.5136694560467743,0.535814606741573
cross_sectional_momentum,crisis,408,-0.0029336082318762815,0.12185365844703297,-0.02407484739698197,-0.12228382057947794,-0.7792915174289606,0.4852941176470588
cross_sectional_momentum,high_vol,1221,-0.012025762983729257,0.0542805785252661,-0.2215481726697441,-0.1535087147807281,-0.8105538520124416,0.4832104832104832
cross_sectional_momentum,low_vol,1018,0.05104867665571632,0.06935591354497343,0.7360392798029272,-0.07402837816058178,0.04160904834777234,0.5196463654223968
cross_sectional_momentum,medium_vol,1424,0.049666528090466774,0.06553133626726877,0.7579050103282259,-0.07649767792460195,-0.008388863929822432,0.4901685393258427
mean_reversion,crisis,408,-0.013843515862243586,0.012460983937809941,-1.1109488569549213,-0.022288140394360556,-14.301692517352407,0.0
mean_reversion,high_vol,1221,0.0001412643961738891,0.0003109497980063129,0.4542996878583634,0.0,34.942810419312316,0.000819000819000819
mean_reversion,low_vol,1018,0.004681559583562093,0.011598997791917967,0.4036175941704329,-0.01772482256270808,7.0714898665238435,0.018664047151277015
mean_reversion,medium_vol,1424,-0.0008033278658971763,0.012777695611553872,-0.06286954160739201,-0.030538242294171607,-1.116854872784835,0.007022471910112359
distance_pairs,crisis,408,-0.032373940233359044,0.02988333061773773,-1.0833444453525196,-0.05207290095243711,-18.665567254090732,0.4362745098039216
distance_pairs,high_vol,1221,-0.018634571714317327,0.032983175071069334,-0.5649720402649272,-0.12452759979711762,-8.142714429539357,0.475020475020475
distance_pairs,low_vol,1018,-0.02232096019512381,0.021241652361472817,-1.0508109169326487,-0.08707107023741179,-2.401763426681532,0.47838899803536344
distance_pairs,medium_vol,1424,0.008906213808587818,0.035135492345267895,0.2534819697720081,-0.052742563471664804,-0.3819421728035796,0.4606741573033708
kalman_pairs,crisis,408,-0.005365718469378546,0.0061658143095546574,-0.8702367927402116,-0.015664103071655777,-0.7235200626791346,0.3480392156862745
kalman_pairs,high_vol,1221,-0.018582174236555008,0.023686728299819274,-0.784497293224611,-0.12200433089394296,0.5220677705750317,0.4013104013104013
