ablation,variant,is_baseline,sharpe,sortino,calmar,max_drawdown,cdar_95,cvar_95,skewness,kurtosis,time_in_drawdown_pct,cagr,ann_volatility
drawdown_control,time_series_momentum_binary_breaker,True,0.3923204706504946,0.3365186238246464,0.17789645072793628,-0.1894040141536759,0.17594312922250982,0.015374830199733062,-2.0155749989706684,41.80036539535808,88.1963190184049,0.03369430187156275,0.09642750629829801
drawdown_control,time_series_momentum_no_control,False,0.44989652326872004,0.38785203998026063,0.2029628855753581,-0.20252132778078943,0.18387383395462528,0.016001249491444016,-1.7702416092501265,36.43038184300332,87.21472392638037,0.041104313076941956,0.10096111280378649
drawdown_control,time_series_momentum_continuous_cdar,False,0.3923204706504946,0.3365186238246464,0.17789645072793628,-0.1894040141536759,0.17594312922250982,0.015374830199733062,-2.0155749989706684,41.80036539535808,88.1963190184049,0.03369430187156275,0.09642750629829801
drawdown_control,cross_sectional_momentum_binary_breaker,True,0.3493512924298936,0.3242578570115409,0.10722547359378574,-0.19939005701775545,0.1741025115710333,0.010558982727894057,-0.5228685785013583,21.999741093492773,87.41104294478528,0.021379693293620772,0.06698668360111162
drawdown_control,cross_sectional_momentum_no_control,False,0.3681236275228032,0.34106901432449993,0.13111920713055897,-0.1826931399286297,0.17439025660674062,0.01121632098582706,-0.49486351047666083,17.394696423834144,87.16564417177915,0.02395457965563419,0.07120328696267385
drawdown_control,cross_sectional_momentum_continuous_cdar,False,0.3493512924298936,0.3242578570115409,0.10722547359378574,-0.19939005701775545,0.1741025115710333,0.010558982727894057,-0.5228685785013583,21.999741093492773,87.41104294478528,0.021379693293620772,0.06698668360111162
drawdown_control,mean_reversion_binary_breaker,True,-0.04413288469789471,-0.004784492949166213,-0.01434714006289853,-0.035402215887754274,0.03054110293030529,2.9501173162901096e-05,-0.7531917897792227,254.23459492633884,97.30061349693251,-0.0005079205498785822,0.01030786451411711
drawdown_control,mean_reversion_no_control,False,-0.04413288469789471,-0.004784492949166213,-0.01434714006289853,-0.035402215887754274,0.03054110293030529,2.9501173162901096e-05,-0.7531917897792227,254.23459492633884,97.30061349693251,-0.0005079205498785822,0.01030786451411711
drawdown_control,mean_reversion_continuous_cdar,False,-0.04413288469789471,-0.004784492949166213,-0.01434714006289853,-0.035402215887754274,0.03054110293030529,2.9501173162901096e-05,-0.7531917897792227,254.23459492633884,97.30061349693251,-0.0005079205498785822,0.01030786451411711
drawdown_control,distance_pairs_binary_breaker,True,-0.34624595188627205,-0.28647827982873114,-0.05385234041381861,-0.17304680400442463,0.1730230266704232,0.003231788101468968,-7.934852542891836,203.4909384072671,93.61963190184049,-0.009318975396769624,0.026051389397627054
drawdown_control,distance_pairs_no_control,False,-0.3643896437381973,-0.31288974841034295,-0.05718425544353859,-0.20465432516294035,0.2041966579490028,0.004621577874029843,-4.9726859735128315,118.3815029676152,93.61963190184049,-0.01170300520774259,0.03097989541589313
drawdown_control,distance_pairs_continuous_cdar,False,-0.34624595188627205,-0.28647827982873114,-0.05385234041381861,-0.17304680400442463,0.1730230266704232,0.003231788101468968,-7.934852542891836,203.4909384072671,93.61963190184049,-0.009318975396769624,0.026051389397627054
drawdown_control,kalman_pairs_binary_breaker,True,-0.43761415461549613,-0.3669352891903962,-0.05423919884387925,-0.14995829754272108,0.14949082719691298,0.0016456876634847676,-2.278791865118318,253.563481244218,92.9079754601227,-0.008133617918709257,0.018279546263693373
drawdown_control,kalman_pairs_no_control,False,-0.503524334119278,-0.41738977654311316,-0.05628009868454213,-0.1767884210560445,0.17507337041387616,0.002195964590631254,-2.3975760513724356,204.16691236160466,92.9079754601227,-0.009949669783318571,0.019481048772114675
drawdown_control,kalman_pairs_continuous_cdar,False,-0.43761415461549613,-0.3669352891903962,-0.05423919884387925,-0.14995829754272108,0.14949082719691298,0.0016456876634847676,-2.278791865118318,253.563481244218,92.9079754601227,-0.008133617918709257,0.018279546263693373
drawdown_control,volatility_breakout_binary_breaker,True,0.26258268381486877,0.2652529372684446,0.11253366777475705,-0.16400268842718352,0.15645753336643486,0.011447041688859863,1.2215976267991415,67.33014959565938,98.23312883435584,0.018455824053631664,0.0825882365205053
drawdown_control,volatility_breakout_no_control,False,0.3014217599122309,0.30406122391638357,0.13296843063137653,-0.16729907254414939,0.1558585196284361,0.011867188043218407,1.0982059005176124,60.37712966524138,98.15950920245399,0.022245495122280357,0.08491730947171598
drawdown_control,volatility_breakout_continuous_cdar,False,0.26258268381486877,0.2652529372684446,0.11253366777475705,-0.16400268842718352,0.15645753336643486,0.011447041688859863,1.2215976267991415,67.33014959565938,98.23312883435584,0.018455824053631664,0.0825882365205053
drawdown_control,carry_binary_breaker,True,-0.26649180578032405,-0.2444553877977395,-0.0493062302626352,-0.28333823879659076,0.28333823644494344,0.008340109219042123,-0.9902587438527548,19.761237183216593,98.62576687116564,-0.013970340444314222,0.04838957970191515
drawdown_control,carry_no_control,False,-0.0400671148704078,-0.03664394720962059,-0.028369570585411195,-0.19517843797916995,0.19515730677831705,0.011589768680162087,-1.7414238582884005,33.36909795344849,98.50306748466258,-0.005537128473000363,0.07254533545302157
drawdown_control,carry_continuous_cdar,False,-0.26649180578032405,-0.2444553877977395,-0.0493062302626352,-0.28333823879659076,0.28333823644494344,0.008340109219042123,-0.9902587438527548,19.761237183216593,98.62576687116564,-0.013970340444314222,0.04838957970191515
drawdown_control,factor_momentum_binary_breaker,True,-0.4756555711771561,-0.42113629018462273,-0.066719287115867,-0.1564383431012265,0.15643818550640487,0.0029874060098538046,-1.3281579356489746,79.11777638656575,93.20245398773007,-0.010437454729301243,0.021568624105338188
drawdown_control,factor_momentum_no_control,False,-0.5540110885542854,-0.4857279843557014,-0.06826421945790206,-0.19698558436768476,0.19698258398744242,0.0038246058128278805,-1.4101139966882283,58.00493178081912,93.20245398773007,-0.013447067161318715,0.023919197502608906
drawdown_control,factor_momentum_continuous_cdar,False,-0.4756555711771561,-0.42113629018462273,-0.066719287115867,-0.1564383431012265,0.15643818550640487,0.0029874060098538046,-1.3281579356489746,79.11777638656575,93.20245398773007,-0.010437454729301243,0.021568624105338188
drawdown_control,pca_stat_arb_binary_breaker,True,-0.07889864347009816,-0.07723947788012608,-0.025519384861541653,-0.16709624781760646,0.16688256239659863,0.006563632006560615,0.22990405168797567,10.347406101426447,91.85276073619632,-0.004264193456977039,0.042644073381905755
drawdown_control,pca_stat_arb_no_control,False,-0.03608069505874514,-0.03531833095738561,-0.01883211288276295,-0.2034864467464494,0.1614704613302279,0.008562804762257242,0.17375678162049982,6.9837643909972,91.75460122699387,-0.003832079735241467,0.05869646010674474
drawdown_control,pca_stat_arb_continuous_cdar,False,-0.07889864347009816,-0.07723947788012608,-0.025519384861541653,-0.16709624781760646,0.16688256239659863,0.006563632006560615,0.22990405168797567,10.347406101426447,91.85276073619632,-0.004264193456977039,0.042644073381905755
